[86917]: 11-16	IORB created: 84907
[87112]: 16-24	IORB created: 85732
[87382]: 24-25	IORB created: 85502
[87607]: 25-5	IORB created: 86692
[87742]: 5-10	IORB created: 86917
[87892]: 10-6	IORB created: 86032
[87937]: 6-10	IORB created: 86695
[88072]: 10-12	IORB created: 86650
[88207]: 12-17	IORB created: 87469
[88402]: 17-21	IORB created: 87382
[88627]: 21-21	IORB created: 86317
[88822]: 21-27	IORB created: 86257
[89107]: 27-9	IORB created: 87877
[89197]: 9-10	IORB created: 88207
[89317]: 10-10	IORB created: 88072
[89422]: 10-11	IORB created: 87905
[89542]: 11-12	IORB created: 88402
[89677]: 12-12	IORB created: 87802
[89797]: 12-16	IORB created: 87607
[89977]: 16-23	IORB created: 88777
[90232]: 23-26	IORB created: 88910
[90487]: 26-26	IORB created: 87937
[90712]: 26-0	IORB created: 89107
[90937]: 0-5	IORB created: 89197
[91042]: 5-10	IORB created: 89422
[91192]: 10-11	IORB created: 89830
[91312]: 11-12	IORB created: 89542
[91447]: 12-13	IORB created: 90000
[91582]: 13-14	IORB created: 89447
[91732]: 14-16	IORB created: 89677
[91897]: 16-19	IORB created: 90232
[92092]: 19-21	IORB created: 89977
[92302]: 21-2	IORB created: 91303
[92452]: 2-10	IORB created: 91732
[92617]: 10-7	IORB created: 91506
[92677]: 7-8	IORB created: 90793
[92782]: 8-10	IORB created: 91447
[92902]: 10-14	IORB created: 91310
[93067]: 14-17	IORB created: 91936
[93247]: 17-20	IORB created: 91922
[93457]: 20-21	IORB created: 92092
[93652]: 21-21	IORB created: 91123
[93847]: 21-31	IORB created: 90848
[94192]: 31-2	IORB created: 92452
[94417]: 2-5	IORB created: 92782
[94507]: 5-5	IORB created: 92677
[94582]: 5-10	IORB created: 93067
[94732]: 10-11	IORB created: 93190
[94852]: 11-17	IORB created: 93559
[95062]: 17-23	IORB created: 93847
[95317]: 23-23	IORB created: 92319
[95527]: 23-24	IORB created: 93680
[95752]: 24-25	IORB created: 93247
[95977]: 25-0	IORB created: 94417
[96187]: 0-8	IORB created: 95752
[96337]: 8-8	IORB created: 94515
[96427]: 8-9	IORB created: 94192
[96532]: 9-10	IORB created: 94852
[96652]: 10-13	IORB created: 95061
[96802]: 13-18	IORB created: 95062
[97012]: 18-21	IORB created: 95527
[97222]: 21-21	IORB created: 95317
[97417]: 21-2	IORB created: 97012
[97567]: 2-5	IORB created: 96427
[97657]: 5-10	IORB created: 96802
[97807]: 10-12	IORB created: 96753
[97942]: 12-16	IORB created: 95977
[98122]: 16-21	IORB created: 96337
[98347]: 21-26	IORB created: 96532
[98617]: 26-5	IORB created: 97711
[98767]: 5-10	IORB created: 97942
[98917]: 10-12	IORB created: 97872
[99052]: 12-16	IORB created: 97567
